"STATISTIC Label","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2011 December","Medium eggs per half dozen","Euro",""
"National Average Price","2012 January","Medium eggs per half dozen","Euro","1.559"
"National Average Price","2012 February","Medium eggs per half dozen","Euro","1.568"
"National Average Price","2012 March","Medium eggs per half dozen","Euro","1.485"
"National Average Price","2012 April","Medium eggs per half dozen","Euro","1.648"
"National Average Price","2012 May","Medium eggs per half dozen","Euro","1.664"
"National Average Price","2012 June","Medium eggs per half dozen","Euro","1.678"
"National Average Price","2012 July","Medium eggs per half dozen","Euro","1.677"
"National Average Price","2012 August","Medium eggs per half dozen","Euro","1.657"
"National Average Price","2012 September","Medium eggs per half dozen","Euro","1.639"
"National Average Price","2012 October","Medium eggs per half dozen","Euro","1.642"
"National Average Price","2012 November","Medium eggs per half dozen","Euro","1.593"
"National Average Price","2012 December","Medium eggs per half dozen","Euro","1.64"
"National Average Price","2013 January","Medium eggs per half dozen","Euro","1.636"
"National Average Price","2013 February","Medium eggs per half dozen","Euro","1.648"
"National Average Price","2013 March","Medium eggs per half dozen","Euro","1.561"
"National Average Price","2013 April","Medium eggs per half dozen","Euro","1.643"
"National Average Price","2013 May","Medium eggs per half dozen","Euro","1.631"
"National Average Price","2013 June","Medium eggs per half dozen","Euro","1.541"
"National Average Price","2013 July","Medium eggs per half dozen","Euro","1.611"
"National Average Price","2013 August","Medium eggs per half dozen","Euro","1.613"
"National Average Price","2013 September","Medium eggs per half dozen","Euro","1.617"
"National Average Price","2013 October","Medium eggs per half dozen","Euro","1.626"
"National Average Price","2013 November","Medium eggs per half dozen","Euro","1.623"
"National Average Price","2013 December","Medium eggs per half dozen","Euro","1.616"
"National Average Price","2014 January","Medium eggs per half dozen","Euro","1.577"
"National Average Price","2014 February","Medium eggs per half dozen","Euro","1.546"
"National Average Price","2014 March","Medium eggs per half dozen","Euro","1.572"
"National Average Price","2014 April","Medium eggs per half dozen","Euro","1.552"
"National Average Price","2014 May","Medium eggs per half dozen","Euro","1.6"
"National Average Price","2014 June","Medium eggs per half dozen","Euro","1.597"
"National Average Price","2014 July","Medium eggs per half dozen","Euro","1.597"
"National Average Price","2014 August","Medium eggs per half dozen","Euro","1.614"
"National Average Price","2014 September","Medium eggs per half dozen","Euro","1.614"
"National Average Price","2014 October","Medium eggs per half dozen","Euro","1.607"
"National Average Price","2014 November","Medium eggs per half dozen","Euro","1.605"
"National Average Price","2014 December","Medium eggs per half dozen","Euro","1.553"
"National Average Price","2015 January","Medium eggs per half dozen","Euro","1.606"
"National Average Price","2015 February","Medium eggs per half dozen","Euro","1.598"
"National Average Price","2015 March","Medium eggs per half dozen","Euro","1.612"
"National Average Price","2015 April","Medium eggs per half dozen","Euro","1.624"
"National Average Price","2015 May","Medium eggs per half dozen","Euro","1.645"
"National Average Price","2015 June","Medium eggs per half dozen","Euro","1.624"
"National Average Price","2015 July","Medium eggs per half dozen","Euro","1.616"
"National Average Price","2015 August","Medium eggs per half dozen","Euro","1.563"
"National Average Price","2015 September","Medium eggs per half dozen","Euro","1.608"
"National Average Price","2015 October","Medium eggs per half dozen","Euro","1.617"
"National Average Price","2015 November","Medium eggs per half dozen","Euro","1.625"
"National Average Price","2015 December","Medium eggs per half dozen","Euro","1.623"
"National Average Price","2016 January","Medium eggs per half dozen","Euro","1.616"
"National Average Price","2016 February","Medium eggs per half dozen","Euro","1.537"
"National Average Price","2016 March","Medium eggs per half dozen","Euro","1.515"
"National Average Price","2016 April","Medium eggs per half dozen","Euro","1.529"
"National Average Price","2016 May","Medium eggs per half dozen","Euro","1.517"
"National Average Price","2016 June","Medium eggs per half dozen","Euro","1.485"
"National Average Price","2016 July","Medium eggs per half dozen","Euro","1.483"
