,EUR_USD
1999-01-31,1.160775
1999-02-28,1.120725
1999-03-31,1.0874000000000001
1999-04-30,1.069775
1999-05-31,1.05882
1999-06-30,1.036475
1999-07-31,1.036275
1999-08-31,1.06094
1999-09-30,1.04895
1999-10-31,1.07055
1999-11-30,1.0304
1999-12-31,1.011725
2000-01-31,1.007556
2000-02-29,0.9828
2000-03-31,0.96374
2000-04-30,0.94557
2000-05-31,0.9079520000000001
2000-06-30,0.95067
2000-07-31,0.935172
2000-08-31,0.90185
2000-09-30,0.87121
2000-10-31,0.85626
2000-11-30,0.85605
2000-12-31,0.901775
2001-01-31,0.938896
2001-02-28,0.9208000000000001
2001-03-31,0.907315
2001-04-30,0.8915759999999999
2001-05-31,0.870225
2001-06-30,0.853435
2001-07-31,0.8630279999999999
2001-08-31,0.9035
2001-09-30,0.911095
2001-10-31,0.9060079999999999
2001-11-30,0.886375
2001-12-31,0.893184
2002-01-31,0.8796350000000001
2002-02-28,0.87027
2002-03-31,0.8761125
2002-04-30,0.88792
2002-05-31,0.918125
2002-06-30,0.9554400000000001
2002-07-31,0.991344
2002-08-31,0.97737
2002-09-30,0.981672
2002-10-31,0.98089
2002-11-30,1.001565
2002-12-31,1.022252
2003-01-31,1.064225
2003-02-28,1.0773
2003-03-31,1.08032
2003-04-30,1.08965
2003-05-31,1.1599
2003-06-30,1.1637
2003-07-31,1.1336
2003-08-31,1.1137
2003-09-30,1.12772
2003-10-31,1.16935
2003-11-30,1.1702249999999998
2003-12-31,1.23184
2004-01-31,1.261425
2004-02-29,1.264625
2004-03-31,1.22662
2004-04-30,1.195475
2004-05-31,1.20438
2004-06-30,1.212125
2004-07-31,1.2276500000000001
2004-08-31,1.21756
2004-09-30,1.22345
2004-10-31,1.249325
2004-11-30,1.3028600000000001
2004-12-31,1.3423500000000002
2005-01-31,1.3102
2005-02-28,1.304075
2005-03-31,1.31825
2005-04-30,1.293675
2005-05-31,1.2642
2005-06-30,1.2146750000000002
2005-07-31,1.2034500000000001
2005-08-31,1.23062
2005-09-30,1.223575
2005-10-31,1.20112
2005-11-30,1.173775
2005-12-31,1.186925
2006-01-31,1.2099600000000001
2006-02-28,1.1922
2006-03-31,1.202825
2006-04-30,1.226525
2006-05-31,1.27644
2006-06-30,1.26375
2006-07-31,1.26994
2006-08-31,1.281725
2006-09-30,1.2723
2006-10-31,1.2629000000000001
2006-11-30,1.29175
2006-12-31,1.32065
2007-01-31,1.30074
2007-02-28,1.30915
2007-03-31,1.324675
2007-04-30,1.3519400000000001
2007-05-31,1.3496
2007-06-30,1.34175
2007-07-31,1.37106
2007-08-31,1.361475
2007-09-30,1.38965
2007-10-31,1.42454
2007-11-30,1.470675
2007-12-31,1.45918
2008-01-31,1.472575
2008-02-29,1.4741499999999998
2008-03-31,1.55568
2008-04-30,1.574875
2008-05-31,1.5562
2008-06-30,1.55898
2008-07-31,1.5757
2008-08-31,1.49455
2008-09-30,1.43178
2008-10-31,1.32295
2008-11-30,1.273225
2008-12-31,1.35324
2009-01-31,1.320725
2009-02-28,1.27845
2009-03-31,1.30864
2009-04-30,1.316975
2009-05-31,1.36505
2009-06-30,1.40204
2009-07-31,1.409325
2009-08-31,1.42706
2009-09-30,1.461525
2009-10-31,1.484425
2009-11-30,1.4942199999999999
2009-12-31,1.449375
2010-01-31,1.427225
2010-02-28,1.3685749999999999
2010-03-31,1.3560599999999998
2010-04-30,1.339975
2010-05-31,1.2503
2010-06-30,1.223825
2010-07-31,1.280325
2010-08-31,1.28848
2010-09-30,1.31375
2010-10-31,1.390625
2010-11-30,1.36024
2010-12-31,1.3227250000000002
2011-01-31,1.34194
2011-02-28,1.367425
2011-03-31,1.4034
2011-04-30,1.44705
2011-05-31,1.43612
2011-06-30,1.43835
2011-07-31,1.4253
2011-08-31,1.43374
2011-09-30,1.3719999999999999
2011-10-31,1.37128
2011-11-30,1.351225
2011-12-31,1.31375
2012-01-31,1.29334
2012-02-29,1.324025
2012-03-31,1.31945
2012-04-30,1.3157999999999999
2012-05-31,1.27145
2012-06-30,1.25365
2012-07-31,1.2289400000000001
2012-08-31,1.241575
2012-09-30,1.2855750000000001
2012-10-31,1.29694
2012-11-30,1.2819500000000001
2012-12-31,1.3129000000000002
2013-01-31,1.3330250000000001
2013-02-28,1.332675
2013-03-31,1.29555
2013-04-30,1.30332
2013-05-31,1.2965250000000001
2013-06-30,1.3188499999999999
2013-07-31,1.30914
2013-08-31,1.33185
2013-09-30,1.33824
2013-10-31,1.364275
2013-11-30,1.3492250000000001
2013-12-31,1.3701599999999998
2014-01-31,1.360675
2014-02-28,1.365875
2014-03-31,1.38132
2014-04-30,1.382825
2014-05-31,1.37255
2014-06-30,1.36006
2014-07-31,1.351075
2014-08-31,1.3312249999999999
2014-09-30,1.2867
2014-10-31,1.268125
2014-11-30,1.2472
2014-12-31,1.23036
2015-01-31,1.160025
2015-02-28,1.1349749999999998
2015-03-31,1.08322
2015-04-30,1.078775
2015-05-31,1.114975
2015-06-30,1.1198000000000001
2015-07-31,1.0982
2015-08-31,1.11512
2015-09-30,1.1216
2015-10-31,1.124275
2015-11-30,1.07298
2015-12-31,1.09185
2016-01-31,1.085975
2016-02-29,1.10618
2016-03-31,1.1173
2016-04-30,1.13345
2016-05-31,1.12944
2016-06-30,1.123275
2016-07-31,1.10655
2016-08-31,1.12086
2016-09-30,1.1216249999999999
2016-10-31,1.1033000000000002
2016-11-30,1.07285
2016-12-31,1.05295
2017-01-31,1.0634000000000001
2017-02-28,1.0606499999999999
2017-03-31,1.070675
2017-04-30,1.071625
2017-05-31,1.1065200000000002
2017-06-30,1.123075
2017-07-31,1.15642
2017-08-31,1.18055
2017-09-30,1.191425
2017-10-31,1.1742000000000001
2017-11-30,1.176025
2017-12-31,1.184425
2018-01-31,1.2215799999999999
2018-02-28,1.2324249999999999
2018-03-31,1.23475
2018-04-30,1.2231200000000002
2018-05-31,1.17785
2018-06-30,1.167875
2018-07-31,1.16796
2018-08-31,1.153625
2018-09-30,1.165875
2018-10-31,1.14776
2018-11-30,1.1363
2018-12-31,1.1387
2019-01-31,1.14245
2019-02-28,1.1347
2019-03-31,1.12985
2019-04-30,1.12314
2019-05-31,1.118475
2019-06-30,1.12935
2019-07-31,1.12066
2019-08-31,1.11315
2019-09-30,1.0993400000000002
2019-10-31,1.107975
2019-11-30,1.104675
2019-12-31,1.11204
2020-01-31,1.1093250000000001
2020-02-29,1.0905
2020-03-31,1.10406
2020-04-30,1.086175
2020-05-31,1.0902
2020-06-30,1.12524
2020-07-31,1.14975
2020-08-31,1.1835799999999999
2020-09-30,1.17705
2020-10-31,1.177875
2020-11-30,1.18778
2020-12-31,1.219225
2021-01-31,1.217075
2021-02-28,1.2098
2021-03-31,1.1887
2021-04-30,1.1985
2021-05-31,1.21512
2021-06-30,1.20015
2021-07-31,1.181875
2021-08-31,1.1780599999999999
2021-09-30,1.17505
2021-10-31,1.16015
2021-11-30,1.1402
2021-12-31,1.1302
2022-01-31,1.13174
2022-02-28,1.128875
2022-03-31,1.101075
2022-04-30,1.081025
2022-05-31,1.05946
2022-06-30,1.0537
2022-07-31,1.01665
2022-08-31,1.011796
2022-09-30,0.989425
2022-10-31,0.983276
2022-11-30,1.0297
2022-12-31,1.0601
2023-01-31,1.07894
2023-02-28,1.066925
2023-03-31,1.071625
2023-04-30,1.0965
2023-05-31,1.08626
2023-06-30,1.08505
2023-07-31,1.1042
2023-08-31,1.0896
2023-09-30,1.067575
2023-10-31,1.0571
2023-11-30,1.0837750000000002
2023-12-31,1.0921750000000001
2024-01-31,1.09018
2024-02-29,1.0790250000000001
2024-03-31,1.0873
2024-04-30,1.073
2024-05-31,1.08215
2024-06-30,1.0759
2024-07-31,1.08416
2024-08-31,1.1032
2024-09-30,1.1098000000000001
2024-10-31,1.0873
2024-11-30,1.06175
2024-12-31,1.04548
2025-01-31,1.035825
2025-02-28,1.04125
2025-03-31,1.08276
2025-04-30,1.13
2025-05-31,1.127475
2025-06-30,1.15584
2025-07-31,1.164275
